Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;29,83;RANBAXY ITALIA SpA;038586018;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;29,83;TECNIMEDE SOC.TECNICO-MED.S.A.;038876025;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;29,83;ACCORD HEALTHCARE ITALIA Srl;039243011;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;29,83;SUN PHARMACEUTICALS ITALIA Srl;040072011;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BIKADER*28 cpr riv 50 mg;29,83;ECUPHARMA Srl;038959060;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;LUTAMID*28 cpr riv 50 mg;29,83;BIOMEDICA FOSCAMA GROUP SpA;038530010;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;PRAXIS*28 cpr riv 50 mg;29,83;LISAPHARMA SpA;038505018;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;49,72;IBIGEN Srl;037751068;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;49,72;BLUEFISH PHARMACEUTICALS AB;039241029;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;CASODEX*28 cpr riv 50 mg;53,00;ASTRAZENECA SpA;031113018;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;SAFEDEX*28 cpr riv 50 mg;56,82;SANDOZ SpA;038536049;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;100,44;TEVA ITALIA Srl;038352023;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 50 mg;100,44;HIKMA FARMACEUTICA S.A.;038832022;DXA;X;;
Bicalutamide;BICALUTAMIDE 50MG 28 UNITA' USO ORALE;IGREDEX*28 cpr riv 50 mg;100,44;SANDOZ SpA;037724022;DXA;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;RATIOPHARM ITALIA Srl;037812219;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;DOC GENERICI Srl;038534160;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;RANBAXY ITALIA SpA;038803019;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;TECNIMEDE SOC.TECNICO-MED.S.A.;038876126;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;EG SpA;039671021;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;MYLAN SpA;039726245;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;126,48;SUN PHARMACEUTICALS ITALIA Srl;040072035;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BIKADER*28 cpr riv 150 mg;126,48;ECUPHARMA Srl;038959247;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;LUTAMID*28 cpr riv 150 mg;126,48;BIOMEDICA FOSCAMA GROUP SpA;038530034;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;PRAXIS*28 cpr riv 150 mg;126,48;LISAPHARMA SpA;038505032;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;CASODEX*28 cpr riv 150 mg;130,68;ASTRAZENECA SpA;031113020;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;210,80;BLUEFISH PHARMACEUTICALS AB;039241082;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;SAFEDEX*28 cpr riv 150 mg;240,91;SANDOZ SpA;038536165;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;SATREXEM*28 cpr riv 150 mg;240,91;SANDOZ SpA;039423064;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;296,82;TEVA ITALIA Srl;038352124;DXB;X;;
Bicalutamide;BICALUTAMIDE 150MG 28 UNITA' USO ORALE;BICALUTAMIDE*28 cpr riv 150 mg;296,82;HIKMA FARMACEUTICA S.A.;038832059;DXB;X;;
Bimatoprost;BIMATOPROST 0,1MG/ML 3ML SOLUZIONE USO OFTALMICO;LUMIGAN*collirio 3 ml 0,1 mg/ml;19,63;ALLERGAN SpA;035447022;I6A;;;
Bimatoprost;BIMATOPROST 0,3MG/ML 3ML SOLUZIONE USO OFTALMICO;LUMIGAN*collirio 3 ml 0,3 mg/ml;20,37;ALLERGAN SpA;035447010;I6B;;;
Bimatoprost;BIMATOPROST 0,3MG/ML 0,4ML 30UNITA' SOLUZIONE USO OFTALMICO;LUMIGAN*collirio 30 flaconcini monodose 0,4 ml 0,3 mg/ml;23,58;ALLERGAN SpA;035447059;I6C;;;
Biperidene;BIPERIDENE 2MG 60 UNITA' USO ORALE;AKINETON*60 cpr 2 mg;4,29;SIT LABORATORIO FARMAC. Srl;028330013;I7A;;;
Biperidene;BIPERIDENE 4MG 50 UNITA' USO ORALE RP;AKINETON*50 cpr 4 mg rilascio prolungato;5,33;SIT LABORATORIO FARMAC. Srl;028330037;I7B;;;
Biperidene;BIPERIDENE 5MG 5 UNITA' USO PARENTERALE;AKINETON*5 fiale IM EV 5 mg 1 ml;2,94;SIT LABORATORIO FARMAC. Srl;016479040;I7C;;;
Biskalammonio;BISKALAMMONIO 120MG 40 UNITA' USO ORALE;DENOL*40 cpr riv 120 mg;10,49;ASTELLAS PHARMA SpA;025416037;I8A;;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 10 mg;4,95;AUROBINDO PHARMA ITALIA Srl;041163104;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 10 mg;5,45;MYLAN SpA;039565395;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 10 mg;5,45;DOC GENERICI Srl;040147340;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 10 mg;5,45;EG SpA;037130174;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 10 mg;5,45;ZENTIVA ITALIA Srl;037690260;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 10 mg;5,45;SANDOZ SpA;038811535;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 10 mg;5,45;MYLAN SpA;040486211;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 10 mg;6,34;RECORDATI SpA;034954420;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;CONCOR*28 cpr 10 mg;6,34;BRACCO SpA DIV.FARMACEUTICA;026573016;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 10 mg;6,34;BRACCO SpA DIV.FARMACEUTICA;034952426;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 10 mg;7,86;DAIICHI SANKYO ITALIA SpA;034953416;CYA;X;;
Bisoprololo;BISOPROLOLO 10MG 28 UNITA' USO ORALE;PLUSCOR*28 cpr riv 10 mg;9,04;DAIICHI SANKYO ITALIA SpA;033945027;CYA;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 5 mg;4,48;AUROBINDO PHARMA ITALIA Srl;041163027;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 5 mg;5,52;MYLAN SpA;039565306;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 5 mg;5,52;DOC GENERICI Srl;040147264;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 5 mg;5,52;EG SpA;037130046;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 5 mg;5,52;SANDOZ SpA;038811333;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 5 mg;5,52;MYLAN SpA;040486134;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 5 mg;6,12;RECORDATI SpA;034954267;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr 5 mg;6,12;BB FARMA Srl;042667028;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 5 mg;6,12;DAIICHI SANKYO ITALIA SpA;034953253;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 5 mg;6,12;FARMA 1000 Srl;039829027;CYB;X;;
Bisoprololo;BISOPROLOLO 5MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 5 mg;6,12;BRACCO SpA DIV.FARMACEUTICA;034952263;CYB;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 1,25 mg;2,65;MYLAN SpA;039565039;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 1,25 mg;2,65;DOC GENERICI Srl;040147023;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 1,25 mg;2,65;HEXAL SpA;038810040;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 1,25 mg;2,65;SANDOZ SpA;038811042;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 1,25 mg;2,65;EG SpA;039870035;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 1,25 mg;2,65;MYLAN SpA;040486019;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 1,25 mg;4,55;RECORDATI SpA;034954014;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 1,25 mg;4,57;BRACCO SpA DIV.FARMACEUTICA;034952022;CYC;X;;
Bisoprololo;BISOPROLOLO 1,25MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 1,25 mg;6,63;DAIICHI SANKYO ITALIA SpA;034953024;CYC;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 2,5 mg;2,62;ZENTIVA ITALIA Srl;041462019;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 2,5 mg;2,62;AUROBINDO PHARMA ITALIA Srl;041498104;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 2,5 mg;2,88;MYLAN SpA;039565128;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 2,5 mg;2,88;DOC GENERICI Srl;040147100;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 2,5 mg;2,88;SANDOZ SpA;038811143;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 2,5 mg;2,88;EG SpA;039870124;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 2,5 mg;2,88;MYLAN SpA;040486058;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 2,5 mg;4,85;RECORDATI SpA;034954103;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 2,5 mg;4,98;BRACCO SpA DIV.FARMACEUTICA;034952109;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr 2,5 mg;7,22;BB FARMA Srl;042667016;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 2,5 mg;7,22;DAIICHI SANKYO ITALIA SpA;034953099;CYD;X;;
Bisoprololo;BISOPROLOLO 2,5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 2,5 mg;7,22;FARMA 1000 Srl;039829015;CYD;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 3,75 mg;2,84;AUROBINDO PHARMA ITALIA Srl;041498181;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 3,75 mg;3,13;MYLAN SpA;039565217;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr 3,75 mg;3,13;DOC GENERICI Srl;040147187;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 3,75 mg;3,13;SANDOZ SpA;038811232;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 3,75 mg;3,13;EG SpA;039870213;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 3,75 mg;3,13;MYLAN SpA;040486096;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 3,75 mg;5,35;RECORDATI SpA;034954180;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 3,75 mg;5,38;BRACCO SpA DIV.FARMACEUTICA;034952186;CYE;X;;
Bisoprololo;BISOPROLOLO 3,75MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 3,75 mg;7,80;DAIICHI SANKYO ITALIA SpA;034953176;CYE;X;;
Bisoprololo;BISOPROLOLO 7,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 7,5 mg;3,37;AUROBINDO PHARMA ITALIA Srl;041498344;CYF;X;;
Bisoprololo;BISOPROLOLO 7,5MG 28 UNITA' USO ORALE;BISOPROLOLO*28 cpr riv 7,5 mg;3,71;SANDOZ SpA;038811434;CYF;X;;
Bisoprololo;BISOPROLOLO 7,5MG 28 UNITA' USO ORALE;CARDICOR*28 cpr riv 7,5 mg;6,40;RECORDATI SpA;034954343;CYF;X;;
Bisoprololo;BISOPROLOLO 7,5MG 28 UNITA' USO ORALE;SEQUACOR*28 cpr riv 7,5 mg;6,40;BRACCO SpA DIV.FARMACEUTICA;034952349;CYF;X;;
Bisoprololo;BISOPROLOLO 7,5MG 28 UNITA' USO ORALE;CONGESCOR*28 cpr riv 7,5 mg;9,28;DAIICHI SANKYO ITALIA SpA;034953339;CYF;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 10+6,25MG 30 UNITA' USO ORALE;BISOPROLOLO E IDROCLOROTIAZIDE*30 cpr riv 10 mg + 6,25 mg;4,23;MYLAN SpA;040426037;I9A;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 10+6,25MG 30 UNITA' USO ORALE;LODOZ*30 cpr riv 10 mg + 6,25 mg;7,04;MERCK SERONO SpA;035583119;I9A;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 2,5+6,25MG 30 UNITA' USO ORALE;BISOPROLOLO E IDROCLOROTIAZIDE*30 cpr riv 2,5 mg + 6,25 mg;4,23;MYLAN SpA;040426013;I9B;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 2,5+6,25MG 30 UNITA' USO ORALE;LODOZ*30 cpr riv 2,5 mg + 6,25 mg;7,04;MERCK SERONO SpA;035583018;I9B;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 5+6,25MG 30 UNITA' USO ORALE;BISOPROLOLO E IDROCLOROTIAZIDE*30 cpr riv 5 mg + 6,25 mg;4,23;MYLAN SpA;040426025;I9C;X;;
Bisoprololo/idroclorotiazide;BISOPROLOLO+IDROCLOROTIAZIDE 5+6,25MG 30 UNITA' USO ORALE;LODOZ*30 cpr riv 5 mg + 6,25 mg;7,04;MERCK SERONO SpA;035583069;I9C;X;;
Boceprevir;BOCEPREVIR 200MG 336 UNITA' USO ORALE;VICTRELIS*336 cps 200 mg;4247,74;MSD ITALIA Srl;041380015;TPA;;;
Boceprevir;BOCEPREVIR 200MG 84 UNITA' USO ORALE;VICTRELIS*84 cps 200 mg;1061,93;MSD ITALIA Srl;041380027;TPB;;   ;
Bornaprina;BORNAPRINA 4MG 50 UNITA' USO ORALE;SORMODREN*50 cpr 4 mg;8,55;TEOFARMA Srl;024264018;IAA;;;
Bosentan;BOSENTAN 62,5MG 56 UNITA' USO ORALE;TRACLEER*56 cpr riv 62,5 mg;3655,20;ACTELION PHARM.ITALIA Srl;035609027;IBA;;;
Bosentan;BOSENTAN 125MG 56 UNITA' USO ORALE;TRACLEER*56 cpr riv 125 mg;3780,31;ACTELION PHARM.ITALIA Srl;035609041;IBB;;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;MYLAN SpA;038634010;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;EG SpA;038644011;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;RATIOPHARM ITALIA Srl;038671018;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;SANDOZ SpA;039016011;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;TUBILUX PHARMA SpA;039098013;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMONIDINA*collirio 5 ml 2 mg/ml;4,50;BAUSCH & LOMB-IOM SpA;039652019;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;GLAUBRIM*collirio 1 flacone 5 ml 2 mg/ml;4,50;FARMIGEA SpA;040101014;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;BRIMOFTAL*collirio 5 ml 2 mg/ml;7,63;BRUSCHETTINI Srl;038714010;ECA;X;;
Brimonidina;BRIMONIDINA 0,2% 5ML SOLUZIONE USO OFTALMICO;ALPHAGAN*collirio 5 ml 2 mg/ml;12,54;ALLERGAN SpA;033490020;ECA;X;;
Brinzolamide;BRINZOLAMIDE 10MG/ML 5ML SOLUZIONE USO OFTALMICO;AZOPT*collirio 5 ml 10 mg/ml;13,23;ALCON ITALIA SpA;034770014;IDA;;;
Brinzolamide/timololo;BRINZOLAMIDE+TIMOLOLO 10+5MG/ML 5ML SOLUZIONE USO OFTALMICO;AZARGA*collirio 5 ml 10 mg/ml + 5 mg/ml;17,77;ALCON ITALIA SpA;038837011;IEA;;;
Brivudina;BRIVUDINA 125MG 7 UNITA' USO ORALE;BRIVIRAC*7 cpr 125 mg;95,93;LAB.GUIDOTTI SpA;035720010;IFA;;;
Brivudina;BRIVUDINA 125MG 7 UNITA' USO ORALE;ZECOVIR*7 cpr 125 mg;95,93;LAB.GUIDOTTI SpA;035722014;IFA;;;
Bromocriptina;BROMOCRIPTINA 2,5MG 30 UNITA' USO ORALE;BROMOCRIPTINA DOROM*30 cpr 2,5 mg;6,07;TEVA ITALIA Srl;029068018;17A;X;;
Bromocriptina;BROMOCRIPTINA 2,5MG 30 UNITA' USO ORALE;PARLODEL*30 cpr 2,5 mg;7,14;MEDA PHARMA SpA;023781014;17A;X;;
Bromocriptina;BROMOCRIPTINA 5MG 30 UNITA' USO ORALE;PARLODEL*30 cps 5 mg;11,53;MEDA PHARMA SpA;023781038;17B;X;;
Bromocriptina;BROMOCRIPTINA 10MG 20 UNITA' USO ORALE;PARLODEL*20 cps 10 mg;14,66;MEDA PHARMA SpA;023781026;17D;X;;
Bromperidolo;BROMPERIDOLO 1% 30ML USO ORALE;IMPROMEN*os gtt 30 ml 1%;10,83;GRUNENTHAL ITALIA Srl;026017069;IGA;;;
Bromperidolo;BROMPERIDOLO 5MG 30 UNITA' USO ORALE;IMPROMEN*30 cpr 5 mg;4,80;GRUNENTHAL ITALIA Srl;026017020;IGB;;;
Budesonide;BUDESONIDE 200MCG 100 UNITA' USO RESPIRATORIO;BUDESONIDE*polv inal 100 dosi 200 mcg;17,96;MEDA PHARMA SpA;036004012;C4A;X;;
Budesonide;BUDESONIDE 200MCG 100 UNITA' USO RESPIRATORIO;PULMAXAN*polv inal 100 dosi 200 mcg;18,13;ASTRAZENECA SpA;027621022;C4A;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;AIRCORT*nebul 20 fiale 2 ml 0,25 mg/ml;15,13;ITALCHIMICI SpA;033736063;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;BODINET*nebul 20 fiale 2 ml 0,25 mg/ml;15,13;GENETIC SpA;036923011;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;BODIX*nebul 20 fiale 0,5 mg/2 ml;15,13;ERREKAPPA EUROTERAPICI SpA;036924013;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;BUDESONIDE*nebul 20 fiale 2 ml 0,25 mg/ml;15,13;SANDOZ SpA;037018013;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;BUDEXAN*nebul 20 contenitori monodose 2 ml 0,25 mg/ml;15,13;GENETIC SpA;036922019;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;BUDINEB*nebul 20 contenitori monodose 2 ml 0,25 mg/ml;15,13;FARMAC.CABER SpA;036921017;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;XAVIN*nebul 20 contenitori monodose 2 ml 0,25 mg/ml;15,13;TEVA ITALIA Srl;035586015;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;PULMAXAN*nebul 20 flaconcini 2 ml 0,25 mg/ml;16,65;ASTRAZENECA SpA;027621059;C4B;X;;
Budesonide;BUDESONIDE 0,25MG/ML 2 ML 20 UNITA' USO RESPIRATORIO;SPIROCORT*nebul 20 flaconcini 2 ml 0,25 mg/ml;16,65;SIMESA SpA;029330053;C4B;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;AIRCORT*nebul 20 fiale 2 ml 0,5 mg/ml;22,67;ITALCHIMICI SpA;033736075;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;BODINET*nebul 20 fiale 2 ml 0,5 mg/ml;22,67;GENETIC SpA;036923023;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;BODIX*nebul 20 contenitori monodose 2 ml 0,5 mg/ml;22,67;ERREKAPPA EUROTERAPICI SpA;036924025;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;BUDESONIDE*nebul 20 fiale 2 ml 0,50 mg/ml;22,67;SANDOZ SpA;037018049;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;BUDEXAN*nebul 20 contentori monodose 0,5 mg/ml;22,67;GENETIC SpA;036922021;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;BUDINEB*nebul 20 contenitori monodose 2 ml 0,5 mg/ml;22,67;FARMAC.CABER SpA;036921029;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;XAVIN*nebul 20 contenitori monodose 2 ml 0,5 mg/ml;22,67;TEVA ITALIA Srl;035586027;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;PULMAXAN*nebul 20 flaconcini 2 ml 0,5 mg/ml;23,67;ASTRAZENECA SpA;027621061;C4C;X;;
Budesonide;BUDESONIDE 0,5MG/ML 2ML 20 UNITA' USO RESPIRATORIO;SPIROCORT*nebul 20 flaconcini 2 ml 0,5 mg/ml;24,95;SIMESA SpA;029330065;C4C;X;;
Budesonide;BUDESONIDE 400MCG 50 UNITA' USO RESPIRATORIO;BUDESONIDE*polv inal 50 dosi 400 mcg;16,71;MEDA PHARMA SpA;036004149;C4D;X;;
